District,Zone,Geographical Region,Development Region,Sub Group,Girs/ Boys,Numbers
Achham,Seti,Hill,Far-Western,Grade 1,Girls,12317
Achham,Seti,Hill,Far-Western,Grade 1,Boys,12169
Achham,Seti,Hill,Far-Western,Grade 2,Girls,6765
Achham,Seti,Hill,Far-Western,Grade 2,Boys,5837
Achham,Seti,Hill,Far-Western,Grade 3,Girls,5887
Achham,Seti,Hill,Far-Western,Grade 3,Boys,5188
Achham,Seti,Hill,Far-Western,Grade 4,Girls,5172
Achham,Seti,Hill,Far-Western,Grade 4,Boys,4644
Achham,Seti,Hill,Far-Western,Grade 5,Girls,4777
Achham,Seti,Hill,Far-Western,Grade 5,Boys,4362
Achham,Seti,Hill,Far-Western,Grade 1-5,Girls,34918
Achham,Seti,Hill,Far-Western,Grade 1-5,Boys,32200
Arghakhanchi,Lumbini,Hill,Western,Grade 1,Girls,4810
Arghakhanchi,Lumbini,Hill,Western,Grade 1,Boys,5123
Arghakhanchi,Lumbini,Hill,Western,Grade 2,Girls,3713
Arghakhanchi,Lumbini,Hill,Western,Grade 2,Boys,3815
Arghakhanchi,Lumbini,Hill,Western,Grade 3,Girls,3474
Arghakhanchi,Lumbini,Hill,Western,Grade 3,Boys,3540
Arghakhanchi,Lumbini,Hill,Western,Grade 4,Girls,3337
Arghakhanchi,Lumbini,Hill,Western,Grade 4,Boys,3270
Arghakhanchi,Lumbini,Hill,Western,Grade 5,Girls,3260
Arghakhanchi,Lumbini,Hill,Western,Grade 5,Boys,3145
Arghakhanchi,Lumbini,Hill,Western,Grade 1-5,Girls,18594
Arghakhanchi,Lumbini,Hill,Western,Grade 1-5,Boys,18893
Baglung,Dhawalagiri,Hill,Western,Grade 1,Girls,7347
Baglung,Dhawalagiri,Hill,Western,Grade 1,Boys,7469
Baglung,Dhawalagiri,Hill,Western,Grade 2,Girls,5033
Baglung,Dhawalagiri,Hill,Western,Grade 2,Boys,5032
Baglung,Dhawalagiri,Hill,Western,Grade 3,Girls,4903
Baglung,Dhawalagiri,Hill,Western,Grade 3,Boys,4629
Baglung,Dhawalagiri,Hill,Western,Grade 4,Girls,4708
Baglung,Dhawalagiri,Hill,Western,Grade 4,Boys,4494
Baglung,Dhawalagiri,Hill,Western,Grade 5,Girls,4511
Baglung,Dhawalagiri,Hill,Western,Grade 5,Boys,4462
Baglung,Dhawalagiri,Hill,Western,Grade 1-5,Girls,26502
Baglung,Dhawalagiri,Hill,Western,Grade 1-5,Boys,26086
Baitadi,Mahakali,Hill,Far-Western,Grade 1,Girls,10587
Baitadi,Mahakali,Hill,Far-Western,Grade 1,Boys,10212
Baitadi,Mahakali,Hill,Far-Western,Grade 2,Girls,6089
Baitadi,Mahakali,Hill,Far-Western,Grade 2,Boys,5363
